Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1972,0,0,0,0,0,0,0,0,0,0,0,26703
1973,0,0,0,0,0,0,0,0,0,0,0,31065
1974,0,0,0,0,0,0,0,0,0,0,0,23984
1975,0,0,0,0,0,0,0,0,0,0,0,50680
1976,0,0,0,0,0,0,0,0,0,0,0,33316
1977,0,0,0,0,0,0,0,0,0,0,0,35849
1978,0,0,0,0,0,0,0,0,0,0,0,40882
1979,0,0,0,0,0,0,0,0,0,0,0,42709
1980,0,0,0,0,0,0,0,0,0,0,0,41274
1981,0,0,0,0,0,0,0,0,0,0,0,49787
1982,0,0,0,0,0,0,0,0,0,0,0,47473
1983,0,0,0,0,0,0,0,0,0,0,0,34079
1984,0,0,0,0,0,0,0,0,0,0,0,66566
1985,0,0,0,0,0,0,0,0,0,0,0,73696
1986,0,0,0,0,0,0,0,0,0,0,0,59254
1987,0,0,0,0,0,0,0,0,0,0,0,41187
1988,0,0,0,0,0,0,0,0,0,0,0,22903
1989,0,0,0,0,0,0,0,0,0,0,0,21270
1990,0,0,0,0,0,0,0,0,0,0,0,19981
1991,0,0,0,0,0,0,0,0,0,0,0,11479
1992,0,0,0,0,0,0,0,0,0,0,0,14254
1993,0,0,0,0,0,0,0,0,0,0,0,11981
1994,0,0,0,0,0,0,0,0,0,0,0,12575
1995,0,0,0,0,0,0,0,0,0,0,0,1087
1996,0,0,0,0,0,0,0,0,0,0,0,1183
1997,0,0,0,0,0,0,0,0,0,0,0,1255
1998,0,0,0,0,0,0,0,0,0,0,0,660
2005,4887,5046,6277,6869,6139,6703,6881,6801,7773,6603,7867,8791
2006,6081,4806,6994,7412,7120,8039,7005,7115,8004,6431,9209,11897
2007,6399,6609,8020,8197,8788,7789,7127,7620,8021,7421,9104,8504
2008,6418,6152,7987,7730,8534,8203,6804,6406,7584,7443,6788,7712
2009,4722,4653,6433,7010,7503,7524,6407,8057,7209,7358,6810,9075
2010,6510,6216,8589,9319,9205,8601,7817,9182,8151,8128,9365,10546
2011,7812,7753,9818,10018,10457,10051,9146,10201,9725,10225,9700,12655
2012,9354,8531,11585,11521,11503,12664,11707,11527,12302,11297,12067,13969
2013,10056,10877,13253,12689,12815,13130,12602,13549,12609,12564,13244,16577
2014,9797,10600,13888,15304,16274,16476,14250,16536,14403,14767,16235,18836
2015,11314,11274,16872,16612,18205,18013,17439,18592,17079,17439,16399,20145
2016,11701,11594,18215,17654,18622,18311,18233,19108,17335,17409,16847,22884
2017,12979,13571,18519,18475,18879,19165,18553,19460,19014,19142,18898,26616
2018,14256,15451,20090,19104,19315,19471,19221,20907,19350,16056,17082,22765
2019,14253,13560,20302,15024,18892,19409,19370,21531,16130,19172,20618,25850
2020,13438,17396,10537,6270,13935,14634,16795,14928,16173,21090,17327,24102
2021,17461,17461,19646,22315,21455,22314,13841,13328,13841,11060,11060,11060
2022,11364,11364,12780,17994,15824,15824,16239,6215,16213,18018,17296,18738
2023,17355,16663,18564,18766,18046,18796,18807,20609,19846,18995,19957,20754
2024,14550,14919,15129,15806,16439,16439,15396,17246,14211,16781,19699,20420
2025,14235,13669,14807,13251,13762,12233,0,0,0,0,0,0
