Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2002,0,0,0,0,0,0,0,0,0,0,0,524
2003,0,0,0,0,0,0,0,0,0,0,0,439
2004,0,0,0,0,0,0,0,0,0,0,0,110
2005,16947,18356,20149,21072,23048,23392,23178,25537,22052,22432,23673,26464
2006,19274,19328,24501,25250,24688,24179,20083,22421,20339,20822,22602,30945
2007,19761,22274,25325,25310,26689,25220,24295,26562,20901,23451,23808,30199
2008,14475,20775,23115,26735,25469,20944,23914,25462,14744,20203,15217,18060
2009,12212,12979,13884,15705,18383,16744,16381,18332,15047,16444,15708,20128
2010,13162,15100,18060,17268,17859,19182,19064,19540,18228,19272,20097,23280
2011,15905,16416,20395,18801,20651,21637,21409,20815,21750,21873,21521,26834
2012,16405,39184,23940,21062,22168,21725,21297,16925,21761,26451,31213,37399
2013,16513,21311,26278,23225,25230,27074,24043,24523,23568,27574,31752,37389
2014,18253,21417,32107,25202,30602,30201,26409,27214,25586,30602,31019,41526
2015,18981,25201,34310,26952,31003,32176,26970,27755,26608,29439,32003,34625
2016,18082,22498,30033,24951,29017,28855,25777,25531,25392,24017,26189,32835
2017,18109,22558,31015,22624,25818,28962,21965,23553,25571,23208,28049,34253
2018,19016,23508,31311,23485,26662,29404,21982,23789,25908,23262,28330,34357
2019,18102,23558,32228,23816,27108,31627,23015,25505,27467,25440,31213,35746
2020,22009,25002,15141,9171,20382,21403,24351,21565,22523,33313,27363,38074
2021,22858,22905,25717,32604,31353,32604,25522,24576,25522,31011,31011,31011
2022,23478,23477,26757,26966,25968,25969,25680,26669,25680,33076,32556,35267
2023,26934,25857,29086,29694,28554,29694,26908,29061,27985,35487,35487,36907
2024,27791,27790,28901,29624,30809,30809,25699,28783,23643,34651,39676,42184
2025,29205,28036,32314,30686,30049,26708,0,0,0,0,0,0
