Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1980,0,0,0,0,0,0,0,0,0,0,0,52142
1981,0,0,0,0,0,0,0,0,0,0,0,68989
1982,0,0,0,0,0,0,0,0,0,0,0,71037
1983,0,0,0,0,0,0,0,0,0,0,0,90812
1984,0,0,0,0,0,0,0,0,0,0,0,88591
1985,0,0,0,0,0,0,0,0,0,0,0,123333
1986,0,0,0,0,0,0,0,0,0,0,0,118997
1987,0,0,0,0,0,0,0,0,0,0,0,91078
1988,0,0,0,0,0,0,0,0,0,0,0,80753
1989,0,0,0,0,0,0,0,0,0,0,0,70149
1990,0,0,0,0,0,0,0,0,0,0,0,52701
1991,0,0,0,0,0,0,0,0,0,0,0,37321
1992,0,0,0,0,0,0,0,0,0,0,0,42944
1993,0,0,0,0,0,0,0,0,0,0,0,50354
1994,0,0,0,0,0,0,0,0,0,0,0,47055
1995,0,0,0,0,0,0,0,0,0,0,0,36898
1996,0,0,0,0,0,0,0,0,0,0,0,168703
1997,0,0,0,0,0,0,0,0,0,0,0,157213
1998,0,0,0,0,0,0,0,0,0,0,0,156796
1999,0,0,0,0,0,0,0,0,0,0,0,139542
2000,0,0,0,0,0,0,0,0,0,0,0,148518
2001,0,0,0,0,0,0,0,0,0,0,0,130503
2002,0,0,0,0,0,0,0,0,0,0,0,112082
2003,0,0,0,0,0,0,0,0,0,0,0,101016
2004,0,0,0,0,0,0,0,0,0,0,0,71581
2005,13120,15434,18317,19243,20574,27602,23522,18276,15584,14403,13523,21902
2006,14240,15715,19471,17523,17141,21180,17573,18161,18325,15328,15626,21806
2007,12729,13014,17202,15612,15897,15364,16020,18114,18856,19807,15839,21112
2008,13902,13471,16144,13486,12613,13239,12180,14464,11526,9008,8063,13179
2009,7827,6622,7699,7858,7655,8042,5602,6401,10711,11003,9214,14400
2010,8044,8721,10973,10715,11763,11181,14157,11965,11796,12442,11038,15743
2011,11989,15012,11532,12499,11011,10283,10514,12553,12028,11073,10368,15140
2012,8393,21630,9881,9308,9202,11466,12706,13962,11984,12837,13824,17321
2013,12598,13263,15005,12611,13113,13262,14964,19488,13194,14184,15521,17390
2014,11005,12943,14257,13452,13842,12883,13814,15393,12601,12862,12020,14691
2015,10580,10851,12671,14509,13364,12523,12893,14428,13727,14078,12081,18871
2016,9965,10793,11789,9733,8293,13082,13161,15176,13715,12495,13931,19362
2017,9319,9811,11647,11179,11867,11327,10249,13825,14003,12735,12045,13733
2018,9057,12338,14494,13073,13073,13073,11708,13173,12409,14001,13463,14001
2019,11841,11367,12788,12891,14874,11974,13146,14723,12093,13337,13836,13380
2020,9849,12752,7722,4194,9317,9786,11560,10275,11131,14475,11890,16544
2021,11859,11859,13341,12146,11712,0,19780,7318,7599,7460,7460,7460
2022,9030,9030,10156,11512,11086,11086,11069,11495,11105,13046,12525,13567
2023,11947,11470,12903,13127,12623,13127,11422,12337,11880,11967,11967,12445
2024,11661,11661,12128,12484,12985,12985,12241,13710,11259,14474,16991,17620
2025,14020,13457,14579,14975,15549,14828,0,0,0,0,0,0
