Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1973,0,0,0,0,0,0,0,0,0,0,0,64987
1974,0,0,0,0,0,0,0,0,0,0,0,51223
1975,0,0,0,0,0,0,0,0,0,0,0,33620
1976,0,0,0,0,0,0,0,0,0,0,0,44890
1977,0,0,0,0,0,0,0,0,0,0,0,54321
1978,0,0,0,0,0,0,0,0,0,0,0,54286
1979,0,0,0,0,0,0,0,0,0,0,0,58008
1980,0,0,0,0,0,0,0,0,0,0,0,40932
1981,0,0,0,0,0,0,0,0,0,0,0,36711
1982,0,0,0,0,0,0,0,0,0,0,0,22732
1983,0,0,0,0,0,0,0,0,0,0,0,24010
1984,0,0,0,0,0,0,0,0,0,0,0,25074
1985,0,0,0,0,0,0,0,0,0,0,0,507140
1986,0,0,0,0,0,0,0,0,0,0,0,637791
1987,0,0,0,0,0,0,0,0,0,0,0,550687
1988,0,0,0,0,0,0,0,0,0,0,0,559534
1989,0,0,0,0,0,0,0,0,0,0,0,536638
1990,0,0,0,0,0,0,0,0,0,0,0,528369
1991,0,0,0,0,0,0,0,0,0,0,0,459917
1992,0,0,0,0,0,0,0,0,0,0,0,428850
1993,0,0,0,0,0,0,0,0,0,0,0,483731
1994,0,0,0,0,0,0,0,0,0,0,0,443123
1995,0,0,0,0,0,0,0,0,0,0,0,882267
1996,0,0,0,0,0,0,0,0,0,0,0,1030968
1997,0,0,0,0,0,0,0,0,0,0,0,1007318
1998,0,0,0,0,0,0,0,0,0,0,0,931085
1999,0,0,0,0,0,0,0,0,0,0,0,879784
2000,0,0,0,0,0,0,0,0,0,0,0,773027
2001,0,0,0,0,0,0,0,0,0,0,0,608217
2002,0,0,0,0,0,0,0,0,0,0,0,499486
2003,0,0,0,0,0,0,0,0,0,0,0,446581
2004,0,0,0,0,0,0,0,0,0,0,0,260056
2005,168143,176662,249987,220997,226318,316445,294630,191875,197959,145032,159817,236644
2006,168585,170775,210113,202877,202278,234890,237036,203348,186073,167655,165836,194969
2007,144439,183362,207024,182625,218452,181673,180406,223412,189013,173717,148015,187200
2008,146338,162185,160127,152041,162282,154905,137188,186023,173890,108107,95732,137650
2009,77307,75878,94850,116046,129016,106982,125332,168669,102408,117306,100223,135583
2010,105130,100549,134655,135182,167025,141041,139863,131912,121412,119172,112432,143590
2011,125389,142919,148197,169794,161401,156838,149005,152779,147611,131804,128907,161158
2012,123864,302394,173073,155487,177943,180087,138942,169798,149801,135305,128867,166991
2013,137304,158541,173859,172460,179510,193460,162397,187740,127785,154944,145089,153493
2014,119089,153913,179681,181648,205010,188567,175065,185930,153873,155965,149673,184938
2015,142882,159788,173886,187837,207970,181256,189090,183098,170675,183464,156907,188794
2016,139803,158644,176283,183442,169331,181387,178820,175965,170237,181964,169675,212959
2017,135170,164095,172458,164367,162950,169838,151502,196007,199801,175110,167777,206804
2018,141947,149605,199367,168014,168284,175421,152804,171902,159171,179185,172293,179212
2019,148602,142654,160486,162011,175322,149551,166419,186387,153107,164017,169461,164022
2020,140809,178302,110418,59471,132149,138761,157488,139990,151656,175755,144370,200864
2021,136632,173575,153706,145729,140125,145729,96612,93033,96612,95712,95712,95712
2022,109638,109638,123343,131178,126319,126319,122238,126939,122238,140341,131850,142834
2023,130631,125407,141080,152852,146974,152852,144522,156086,150304,127256,134676,140060
2024,127635,127635,132740,146327,152180,152180,138794,155452,127692,141470,166075,172223
2025,147433,141536,153331,160623,166803,148268,0,0,0,0,0,0
