Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,40831,47028,71462,55075,60473,109359,95906,42093,48051,29300,37633,68770
2006,38133,46387,60833,57709,55316,58791,66583,51185,51964,52409,44363,52396
2007,38393,58696,55626,49436,63790,44955,46997,67486,52480,48716,38122,53560
2008,36122,44096,42561,37231,37020,34290,32989,55765,50428,31689,29534,33340
2009,23987,19788,23508,26437,31463,24766,27617,32421,19401,31754,22101,33301
2010,22772,19822,29886,29618,33690,30994,34664,34084,32185,34283,25619,42518
2011,28172,31728,32555,29342,28409,32579,33121,36832,43698,36656,34251,47787
2012,26850,64594,36491,30749,34555,33566,28972,38295,36425,38739,30674,50699
2013,35445,41643,39561,39395,43283,43259,42080,43603,32506,42660,34386,42593
2014,28926,36584,42247,42755,46648,43519,42097,49201,50176,46966,42799,57837
2015,36106,45395,45193,45978,51602,51548,56380,54977,53725,51647,45001,62992
2016,37863,43136,47966,49990,45035,49662,54116,52408,45380,49768,45280,54272
2017,35553,50504,42410,40154,43804,50515,45966,54448,55236,53157,46441,67676
2018,40716,42282,52547,51843,51843,51843,42104,47367,43858,54424,52331,54424
2019,37603,36099,40611,46300,53424,42739,51145,57283,47054,53782,55744,53785
2020,46673,60425,36600,22038,48973,51421,51715,45969,49800,60535,49725,69183
2021,40509,40509,45573,55623,53484,55623,41535,39997,41535,38459,38459,38459
2022,38754,38754,43599,48094,46313,46313,38571,40055,38571,47304,45412,49196
2023,41774,40103,45116,47711,45876,47711,45983,49662,47822,47168,47168,49054
2024,42759,42759,44469,49062,51025,51025,43190,48373,39735,43602,51185,53081
2025,43238,41508,44968,53870,55942,49726,0,0,0,0,0,0
