Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1979,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,112924
1981,0,0,0,0,0,0,0,0,0,0,0,81259
1982,0,0,0,0,0,0,0,0,0,0,0,178970
1983,0,0,0,0,0,0,0,0,0,0,0,262037
1984,0,0,0,0,0,0,0,0,0,0,0,243593
1985,0,0,0,0,0,0,0,0,0,0,0,387103
1986,0,0,0,0,0,0,0,0,0,0,0,356460
1987,0,0,0,0,0,0,0,0,0,0,0,306342
1988,0,0,0,0,0,0,0,0,0,0,0,279123
1989,0,0,0,0,0,0,0,0,0,0,0,196125
1990,0,0,0,0,0,0,0,0,0,0,0,183095
1991,0,0,0,0,0,0,0,0,0,0,0,92507
1992,0,0,0,0,0,0,0,0,0,0,0,100107
1993,0,0,0,0,0,0,0,0,0,0,0,143881
1994,0,0,0,0,0,0,0,0,0,0,0,133652
1995,0,0,0,0,0,0,0,0,0,0,0,139347
1996,0,0,0,0,0,0,0,0,0,0,0,123340
1997,0,0,0,0,0,0,0,0,0,0,0,188929
1998,0,0,0,0,0,0,0,0,0,0,0,500508
1999,0,0,0,0,0,0,0,0,0,0,0,334361
2000,0,0,0,0,0,0,0,0,0,0,0,271739
2001,0,0,0,0,0,0,0,0,0,0,0,207645
2002,0,0,0,0,0,0,0,0,0,0,0,183250
2003,0,0,0,0,0,0,0,0,0,0,0,130237
2004,0,0,0,0,0,0,0,0,0,0,0,110151
2005,33918,53575,60382,61332,61696,65594,61193,44279,45546,51766,49917,52208
2006,48628,55127,59133,51979,55680,51986,38124,47132,47211,41635,52400,55839
2007,41486,46112,51874,51441,53157,47658,34631,43650,38668,40440,45510,48384
2008,34372,41709,40539,30670,32776,26228,20858,24337,23346,19903,20017,19453
2009,10685,15519,19502,13874,15987,13753,16549,18619,9046,12815,12544,18122
2010,10443,16925,19780,22386,21699,17893,14692,17937,17348,16547,9664,13132
2011,9705,12628,20463,20379,16364,16529,15427,22497,23559,21244,18577,23974
2012,17604,54016,34726,31879,29674,26863,20792,28070,24850,22222,18766,25513
2013,20696,25083,33905,27836,29070,27249,19978,28678,25251,23452,21024,20270
2014,21113,25230,26140,21967,22592,24026,23455,29762,28781,27546,27243,30930
2015,23393,28502,30038,27704,29802,30809,25722,25580,27250,27801,23953,24292
2016,18214,21056,26236,22843,24276,24747,19095,18753,18797,14181,14518,16776
2017,13377,16730,16969,17309,17969,19741,13303,12652,15759,11018,16510,17208
2018,10584,16150,19499,14189,14724,13484,11624,12219,14683,13289,13094,12425
2019,9054,10368,12169,8987,10903,12941,9719,10885,8940,10868,11270,10868
2020,9785,12667,7493,2494,5543,5820,11175,9933,10761,11677,9592,13345
2021,12715,12714,14305,6382,6136,6382,5233,5039,5233,13621,13621,13621
2022,9316,9316,10481,12623,12156,12156,7113,7387,7113,8351,8017,8685
2023,10493,10073,11333,16594,15955,16594,13563,14647,14105,3412,3522,3548
2024,11450,11450,11907,12911,13428,13428,7396,8283,6804,8147,9564,9918
2025,11690,11222,12157,7826,8127,7223,0,0,0,0,0,0
