Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1985,0,0,0,0,0,0,0,0,0,0,0,420690
1986,0,0,0,0,0,0,0,0,0,0,0,402181
1987,0,0,0,0,0,0,0,0,0,0,0,392360
1988,0,0,0,0,0,0,0,0,0,0,0,465578
1989,0,0,0,0,0,0,0,0,0,0,0,467185
1990,0,0,0,0,0,0,0,0,0,0,0,391789
1991,0,0,0,0,0,0,0,0,0,0,0,324159
1992,0,0,0,0,0,0,0,0,0,0,0,299281
1993,0,0,0,0,0,0,0,0,0,0,0,359469
1994,0,0,0,0,0,0,0,0,0,0,0,420839
1995,0,0,0,0,0,0,0,0,0,0,0,560413
1996,0,0,0,0,0,0,0,0,0,0,0,526182
1997,0,0,0,0,0,0,0,0,0,0,0,506322
1998,0,0,0,0,0,0,0,0,0,0,0,482109
1999,0,0,0,0,0,0,0,0,0,0,0,530176
2000,0,0,0,0,0,0,0,0,0,0,0,619200
2001,0,0,0,0,0,0,0,0,0,0,0,534512
2002,0,0,0,0,0,0,0,0,0,0,0,443931
2003,0,0,0,0,0,0,0,0,0,0,0,368291
2004,0,0,0,0,0,0,0,0,0,0,0,226461
2005,160678,204336,247511,234026,237446,238495,306909,239212,186516,163018,167119,218870
2006,167691,200628,235762,211442,229343,220535,195731,211524,200398,179087,144416,186088
2007,129218,169704,211345,180381,207521,200222,157386,177682,152387,156579,144617,169033
2008,128154,161429,184468,162184,178414,142394,136296,132073,100470,112448,100993,166988
2009,77811,82413,106988,112750,134650,129888,140495,160320,96388,117800,103809,201920
2010,98198,120788,155770,143521,171910,152761,152530,142622,144797,141870,131573,241231
2011,119335,147565,200938,179489,181738,183179,171008,165567,165770,159390,158354,261913
2012,130411,338340,211688,169611,204815,197662,165421,187667,165557,161803,170148,277867
2013,160586,188579,226584,201172,235555,226069,185293,211382,176723,182423,180915,286480
2014,146319,175335,232506,200897,240729,212470,202656,212878,172078,178926,178142,272164
2015,170763,173484,226079,213469,240903,216345,212473,225243,212581,204618,178904,275562
2016,165221,208006,243375,219963,224941,230287,206170,204168,194647,178623,187012,269092
2017,162401,198720,225341,203745,229962,217891,190443,200321,212841,190789,201296,271527
2018,154001,187362,233669,199591,231772,220003,184845,208755,188328,184108,186048,244194
2019,180766,177467,199651,201208,232161,179729,180286,201922,165862,186168,193045,199511
2020,158843,205646,124562,73985,164416,172634,182874,162555,176101,171770,140429,195380
2021,134836,154170,203265,186595,152377,109773,114680,118189,147737,166118,150991,166062
2022,136705,122306,151015,166684,145841,144288,155851,150669,134967,149721,138880,170574
2023,139262,150218,168001,175940,163079,168732,165974,153610,157141,141886,138212,181983
2024,144895,164566,183722,170302,180612,159629,164585,336347,138435,162323,156139,178630
2025,135506,151066,188177,196098,208630,173787,0,0,0,0,0,0
