Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,49319,59562,80527,71367,74494,72485,126905,90388,69643,54404,62878,89491
2006,52771,62862,84168,64749,70175,65452,68982,76804,70822,55947,52727,70580
2007,44919,55251,71481,56692,61939,66156,56488,69220,56065,51741,46568,55069
2008,41125,52548,54465,44813,42973,38789,44829,40429,32727,43324,37911,41580
2009,25237,23614,32728,28757,33381,35915,36327,45590,33877,39496,30494,48209
2010,27630,32895,42514,40946,49858,46502,50449,47652,47433,49041,38541,54888
2011,35806,37549,53272,45435,42399,49618,49104,48795,54410,52511,47740,68278
2012,38493,94546,58061,47453,54836,55025,49314,58201,55077,56497,56299,68787
2013,46841,54489,67513,59030,71604,69009,60449,71115,60456,63803,65501,74592
2014,46536,55882,70940,63387,68520,60560,63240,68109,59863,63410,59049,74355
2015,54370,55236,67706,62827,61870,55171,66288,71332,69651,65500,65192,85211
2016,51540,60697,73884,70774,67412,70937,65657,66946,67809,65542,72089,87512
2017,57995,65956,81330,70657,76027,77895,69467,77007,82302,75974,72769,89385
2018,58937,68243,87011,73104,84639,79204,70949,81839,75092,70438,72102,87772
2019,70596,67772,76243,75981,87670,70136,70453,78907,64816,77033,79886,77033
2020,60595,78449,47517,32549,72330,75947,77720,69085,74842,71593,52698,74047
2021,55276,64478,84043,66302,46260,45672,52314,57321,63164,68259,60418,62496
2022,50543,45252,44906,51517,49454,57673,63341,58283,46338,56405,55169,75076
2023,55001,54995,60381,69595,70566,72355,68536,63287,58654,53509,53069,70841
2024,48702,51829,52412,64568,69467,65428,68992,139693,58736,67483,67459,79872
2025,58644,59310,72435,72765,79817,69887,0,0,0,0,0,0
