Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1973,0,0,0,0,0,0,0,0,0,0,0,6766
1974,0,0,0,0,0,0,0,0,0,0,0,4873
1975,0,0,0,0,0,0,0,0,0,0,0,3051
1976,0,0,0,0,0,0,0,0,0,0,0,5436
1977,0,0,0,0,0,0,0,0,0,0,0,5955
1978,0,0,0,0,0,0,0,0,0,0,0,6609
1979,0,0,0,0,0,0,0,0,0,0,0,6952
1980,0,0,0,0,0,0,0,0,0,0,0,4742
1981,0,0,0,0,0,0,0,0,0,0,0,4380
1982,0,0,0,0,0,0,0,0,0,0,0,2654
1983,0,0,0,0,0,0,0,0,0,0,0,2126
1984,0,0,0,0,0,0,0,0,0,0,0,2751
1985,0,0,0,0,0,0,0,0,0,0,0,2503
1986,0,0,0,0,0,0,0,0,0,0,0,2795
1987,0,0,0,0,0,0,0,0,0,0,0,1882
1988,0,0,0,0,0,0,0,0,0,0,0,328
1995,0,0,0,0,0,0,0,0,0,0,0,113602
1996,0,0,0,0,0,0,0,0,0,0,0,162466
1997,0,0,0,0,0,0,0,0,0,0,0,153318
1998,0,0,0,0,0,0,0,0,0,0,0,158041
1999,0,0,0,0,0,0,0,0,0,0,0,169207
2000,0,0,0,0,0,0,0,0,0,0,0,163026
2001,0,0,0,0,0,0,0,0,0,0,0,91420
2002,0,0,0,0,0,0,0,0,0,0,0,55729
2003,0,0,0,0,0,0,0,0,0,0,0,36135
2004,0,0,0,0,0,0,0,0,0,0,0,11648
2005,30606,35419,52110,42628,47138,85122,75469,35631,35622,22635,27168,48023
2006,26931,32241,40705,36054,39355,44843,46606,39575,37600,37467,35870,39318
2007,27369,40075,39243,40184,46336,37635,41057,49608,43472,43048,33446,43441
2008,31473,32453,37476,29656,28257,28323,26348,41318,38170,20075,19402,28788
2009,18633,15608,18563,19988,23372,18783,21004,22621,17851,24980,20910,30740
2010,20988,20242,27389,24037,29960,28218,27766,25958,25944,33000,27559,42143
2011,27658,32534,30597,31204,32589,32769,37918,36471,33194,31609,29470,41960
2012,24966,65162,34337,32603,38877,37677,34487,37838,33192,33570,29832,43921
2013,30816,34878,38333,34799,41594,39376,39356,43202,29959,38841,35727,43120
2014,27733,35562,41173,39314,45039,43550,48081,47700,38269,38540,43854,53038
2015,35671,42433,41707,47194,50657,47051,48777,49363,47386,45478,43039,59941
2016,36933,39530,44585,47159,43395,42985,51137,42440,43268,42668,49113,63415
2017,37324,46339,49948,47004,41126,41434,47412,47718,47329,43830,46277,64146
2018,33058,42640,55646,46055,46055,46055,39921,44912,41584,54203,52119,54203
2019,41309,39656,44614,49301,56890,45510,46312,51870,42608,48367,50151,48362
2020,38559,49921,30238,18317,40704,42738,46547,41375,44824,54680,44917,62493
2021,60258,41996,47246,51671,49684,51671,32824,31609,32824,33639,33639,33639
2022,38828,38828,43782,45133,43462,43462,39662,41188,39662,47886,45970,49800
2023,42964,41244,46400,52692,50651,52676,45759,49420,47590,44176,44176,45944
2024,40914,40914,42550,49734,53885,53885,49955,55951,45960,52652,61809,64188
2025,48740,46790,50691,57296,61159,52890,0,0,0,0,0,0
