Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1984,0,0,0,0,0,0,0,0,0,0,0,48445
1985,0,0,0,0,0,0,0,0,0,0,0,57486
1986,0,0,0,0,0,0,0,0,0,0,0,66629
1987,0,0,0,0,0,0,0,0,0,0,0,48142
1988,0,0,0,0,0,0,0,0,0,0,0,51784
1989,0,0,0,0,0,0,0,0,0,0,0,39048
1990,0,0,0,0,0,0,0,0,0,0,0,40650
1991,0,0,0,0,0,0,0,0,0,0,0,26975
1993,0,0,0,0,0,0,0,0,0,0,0,25748
1994,0,0,0,0,0,0,0,0,0,0,0,21075
1995,0,0,0,0,0,0,0,0,0,0,0,42002
1996,0,0,0,0,0,0,0,0,0,0,0,36673
1997,0,0,0,0,0,0,0,0,0,0,0,28330
1998,0,0,0,0,0,0,0,0,0,0,0,26227
1999,0,0,0,0,0,0,0,0,0,0,0,23036
2000,0,0,0,0,0,0,0,0,0,0,0,21894
2001,0,0,0,0,0,0,0,0,0,0,0,17448
2002,0,0,0,0,0,0,0,0,0,0,0,5490
2003,0,0,0,0,0,0,0,0,0,0,0,80
2005,67840,81979,109949,116495,103486,114672,123308,136952,104529,94497,91978,114179
2006,84413,92498,111282,119752,125639,111342,133601,132990,99903,94747,89246,112722
2007,87773,96368,126406,111226,129447,114159,126668,141906,112831,101913,98521,114210
2008,87343,102313,120446,122000,153104,130083,125914,131766,87629,75755,68345,75405
2009,63175,63916,79374,92216,88875,92140,106028,151814,69970,75751,65234,96568
2010,60347,71732,96540,102978,105407,95788,99420,97195,86639,87800,78899,114127
2011,68308,87263,121039,113195,81773,75184,71100,73267,79521,87218,74016,92101
2012,74628,197798,115833,109837,119411,109438,104119,115675,103475,94270,104334,116740
2013,84137,96623,121938,117100,125649,123150,126289,149378,93915,100242,101948,119504
2014,80808,88860,117738,118333,137928,117817,123428,151551,104391,105906,106957,119472
2015,90202,92474,111623,115194,137551,118870,131409,140178,119046,115572,103197,134070
2016,90247,106213,123369,132623,133547,127363,139125,135325,120842,113292,111308,143239
2017,97178,110822,125531,123984,134475,125755,136803,131076,129776,114655,120440,134255
2018,95634,104588,128585,113813,140250,132031,125355,132834,119157,108558,106481,138341
2019,96375,102926,134101,114088,131985,123953,128537,158804,102827,117486,119470,120433
2020,92395,107742,70116,52705,110636,102703,102374,122278,114117,113197,90723,120819
2021,83721,94775,130707,140023,158662,137238,120692,100364,86303,87028,74935,94028
2022,68232,75095,94855,82270,69031,63864,65162,63924,71172,72409,71780,83407
2023,75026,72839,103177,102781,105740,98327,99700,93845,102765,96934,94925,110532
2024,84574,100341,118536,106042,114388,102385,109551,127953,95601,99499,110020,122600
2025,88083,97688,135040,123637,122743,207148,0,0,0,0,0,0
