Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,15874,17967,25414,31557,24765,25326,28008,34762,30165,23911,23695,26971
2006,24788,24722,28969,31259,29006,26312,28607,31549,26331,21343,20143,23609
2007,18378,20041,29721,29155,39993,36512,27852,28551,24752,23809,25141,27190
2008,20993,23799,32740,30000,53299,39967,29125,30052,21577,18582,17690,17302
2009,14198,15687,20645,26252,20723,20954,30037,43294,16093,15868,13652,22319
2010,14693,16471,22463,25042,28458,26474,23231,22803,18637,17121,16562,28263
2011,14634,19121,31213,26777,18341,17485,14006,12083,13724,16173,17133,20545
2012,21883,54174,28199,24423,33490,27500,25004,24897,21546,20687,30075,33118
2013,21881,22713,27665,26453,30268,29724,32416,39459,22983,27328,26291,29000
2014,21824,21575,27697,27611,36089,32301,30038,34032,22263,24254,23060,25337
2015,18699,21038,26985,28380,34472,28727,31139,32031,28278,27789,25050,32796
2016,26741,27707,32855,35331,35396,31810,32952,32807,28184,26359,25303,31482
2017,23095,27039,31520,31211,31989,30909,36683,36482,35452,30319,31181,31406
2018,23749,25816,32584,28399,34349,31345,26311,27677,24806,22450,21890,26384
2019,21553,22979,33653,28436,32800,29751,29167,34808,22337,23577,23676,22913
2020,20054,25617,18273,13410,27244,23260,25188,25524,22371,21865,17372,21047
2021,15475,15906,24522,28414,35962,32677,28318,19654,15647,13399,12927,20886
2022,13599,14472,10444,14040,8147,9633,9243,7327,9381,11347,11390,14909
2023,13313,14812,17423,16317,16110,15979,17154,17077,18696,17228,16837,19435
2024,16449,20228,25252,22043,23987,21829,20185,22688,15761,16532,18367,18684
2025,16173,18178,24625,23553,25809,39796,0,0,0,0,0,0
