Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,0,0,0,0,0,0,0,0,0,0,0,7018
1991,0,0,0,0,0,0,0,0,0,0,0,26421
1992,0,0,0,0,0,0,0,0,0,0,0,17196
1993,0,0,0,0,0,0,0,0,0,0,0,15420
1994,0,0,0,0,0,0,0,0,0,0,0,15365
1995,0,0,0,0,0,0,0,0,0,0,0,4780
1996,0,0,0,0,0,0,0,0,0,0,0,458
1997,0,0,0,0,0,0,0,0,0,0,0,9
2005,29009,33940,40063,40958,40416,43051,44431,42113,38214,29413,33383,43021
2006,30208,34014,41766,41025,42514,44508,47205,44635,33384,30479,28417,37365
2007,27721,34500,41984,39137,43885,49368,43511,45087,33214,30232,31883,46487
2008,21452,31090,42796,39280,46415,50033,40703,41130,24765,20820,19221,24037
2009,24512,30621,40721,33952,36937,36943,45553,60467,31511,31005,28047,33797
2010,30503,34004,47002,44023,49045,51205,54106,53603,46556,42656,40722,44606
2011,37214,43716,61873,61754,59314,59209,59561,58505,52051,52402,49610,50765
2012,42694,84877,69728,62264,67019,63813,62021,61099,60025,50271,53487,59435
2013,43713,52311,68306,63315,68458,65007,66005,66101,55102,53555,56005,63005
2014,44005,49003,67005,66107,70907,67407,67011,70003,56010,50081,53672,64507
2015,44505,52505,75019,68009,63610,67502,71013,72012,64015,60005,60007,63508
2016,45011,53009,75310,62213,71006,67511,75003,70518,65399,61304,61201,60572
2017,44685,51437,67515,61651,58259,52894,52419,52507,55270,51224,55435,61646
2018,39630,44732,60152,55035,64980,63256,51137,56929,56940,64146,57083,65107
2019,40796,45612,61177,55420,66121,64202,57340,63737,51951,57094,60601,64720
2020,42744,53013,35118,33968,57619,47791,57677,58361,54790,57395,55171,66278
2021,43394,48063,91147,74905,90017,72465,43555,56200,56200,56761,42668,51340
2022,40518,52424,59380,61668,59432,63091,60631,64335,59465,60604,63305,72058
2023,52001,57044,75404,66123,70001,69351,66527,65046,68961,60805,70079,75164
2024,47543,60341,76920,68603,78485,67631,69202,79278,62491,71802,76008,65188
2025,54503,62032,87019,81503,84521,69702,0,0,0,0,0,0
