Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,3420,4033,4604,5195,5732,5975,5894,6422,5245,5086,4523,4919
2006,3620,4145,4427,4657,4279,5474,5095,4368,4223,4322,3788,3669
2007,2769,2943,3982,3563,3454,3639,3452,4954,3693,2958,3107,2962
2008,1373,2213,2427,1721,2049,1964,1521,1685,1294,988,918,874
2009,974,1358,1346,1428,1346,1100,1106,2531,1583,848,888,903
2010,2216,2741,3084,3871,4395,3382,3698,3343,2730,3051,3042,4041
2011,2863,3342,4508,4055,4363,4406,3479,4156,3724,3777,4101,4458
2012,3116,7472,4197,3909,4644,4231,4062,5376,4573,3451,3838,3745
2013,3493,3444,4073,3733,3664,3800,3949,3886,2849,2016,3285,3714
2014,3533,3956,4627,3962,4482,3776,3767,5266,3589,3592,3642,3114
2015,3036,3869,4222,4020,3881,3606,3908,6609,7925,7298,6906,8311
2016,5218,7336,7830,7718,7369,7193,7728,7608,7333,8088,7616,8676
2017,5748,6422,8985,9952,10600,10000,11257,9757,10118,8731,11532,11633
2018,7638,8438,11806,12903,12991,16173,11360,11559,10646,22986,11908,15384
2019,7444,9411,11976,8682,15616,12825,12629,13985,10293,11288,12008,11224
2020,8068,9594,6073,8438,15552,10216,10922,11632,10644,10898,9739,11881
2021,7980,9423,15744,16901,18848,14621,0,11151,11151,9735,11325,13842
2022,13085,12928,13642,14616,14152,15648,14278,14305,12971,15066,16059,18557
2023,12028,14031,20111,18676,18038,17707,17534,16242,18813,15638,21382,19424
2024,11116,15999,18394,15685,17371,13581,16135,20864,16802,19829,20178,20172
2025,15025,16317,23631,22054,19905,16378,0,0,0,0,0,0
