Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,2245,2917,3545,2870,2697,2888,2353,2634,2135,1758,1937,2445
2006,1596,1662,1866,1991,2374,2160,1997,1704,1158,1366,1256,1553
2007,1390,1191,1667,1424,1379,1410,1136,1359,1061,1030,1114,1522
2008,664,1063,1752,1785,1757,1360,1434,0,810,0,0,0
2009,0,0,1174,1281,1168,936,785,875,880,882,1153,1246
2010,631,761,983,896,962,1618,1516,1414,967,1295,1117,1180
2011,935,692,874,1249,1271,1389,984,810,1111,1328,915,1137
2012,985,2044,1321,1073,1075,1030,1011,1029,1004,699,713,1049
2013,1029,1148,1408,1141,1435,1637,1613,1723,1313,1515,1446,1544
2014,1347,1552,1816,1035,1304,1263,1187,1184,1142,1007,1253,1683
2015,1266,1410,1660,1079,1204,1217,1242,1143,995,988,1065,1227
2016,1352,1512,2133,1087,2164,2743,3398,3298,2662,3219,3381,4294
2017,2939,3776,4953,3230,3113,2946,3166,3101,3296,2891,3061,3414
2018,2624,2185,3011,2019,2366,2353,1880,2469,2040,2648,3197,3462
2019,3078,3465,3679,2147,2021,1892,2020,2128,2002,2350,2958,3265
2020,2581,2295,2390,778,1728,1814,1647,1466,1587,1856,1523,2121
2021,1295,1295,1458,1651,1584,1648,1053,1015,1053,1699,1699,1699
2022,901,901,1014,660,656,634,776,807,776,848,813,882
2023,849,817,918,603,579,603,536,580,558,738,738,829
2024,1011,1011,1051,656,682,682,1208,1352,1110,825,970,1005
2025,940,902,978,0,0,0,0,0,0,0,0,0
