Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1981,0,0,0,0,0,0,0,0,0,0,0,8355
1982,0,0,0,0,0,0,0,0,0,0,0,7759
1983,0,0,0,0,0,0,0,0,0,0,0,37404
1984,0,0,0,0,0,0,0,0,0,0,0,110850
1985,0,0,0,0,0,0,0,0,0,0,0,141459
1986,0,0,0,0,0,0,0,0,0,0,0,170665
1987,0,0,0,0,0,0,0,0,0,0,0,176380
1988,0,0,0,0,0,0,0,0,0,0,0,211157
1989,0,0,0,0,0,0,0,0,0,0,0,198444
1990,0,0,0,0,0,0,0,0,0,0,0,143182
1991,0,0,0,0,0,0,0,0,0,0,0,131297
1992,0,0,0,0,0,0,0,0,0,0,0,126400
1993,0,0,0,0,0,0,0,0,0,0,0,130111
1994,0,0,0,0,0,0,0,0,0,0,0,122981
1995,0,0,0,0,0,0,0,0,0,0,0,110552
1996,0,0,0,0,0,0,0,0,0,0,0,110356
1997,0,0,0,0,0,0,0,0,0,0,0,130041
1998,0,0,0,0,0,0,0,0,0,0,0,146298
1999,0,0,0,0,0,0,0,0,0,0,0,165261
2000,0,0,0,0,0,0,0,0,0,0,0,141457
2001,0,0,0,0,0,0,0,0,0,0,0,74490
2005,27465,35756,40491,40547,40269,46441,56280,40659,33120,32431,29855,53218
2006,29773,39618,43560,31885,35605,37475,35831,44304,41893,40297,35785,46087
2007,35361,37776,45335,41200,42870,44600,37265,41712,37460,31856,34908,44804
2008,33136,32243,39941,33733,35841,26642,22694,23476,21431,21360,20302,23091
2009,16834,21941,23771,19670,21624,16608,22276,22041,17287,13500,15339,20810
2010,15715,23339,24393,19645,22948,20731,26466,25706,28603,28480,24202,30910
2011,23079,28619,33155,32384,35573,36114,38691,40613,35565,35733,36246,43577
2012,31710,71844,45124,38684,45198,44519,41559,42839,39245,34023,35047,39871
2013,30318,31164,39469,39426,44419,44609,42277,46239,37464,36379,45415,53275
2014,41910,45946,57983,59754,70203,57006,59588,68766,55231,55198,57390,63274
2015,51523,55642,71584,71759,79652,71529,73216,80804,77201,73561,68903,89654
2016,59032,68228,82337,84298,90545,83691,79246,86468,76331,68826,67285,83159
2017,58415,62345,67983,68879,75516,73153,69351,73191,73409,67074,66001,73205
2018,59703,70020,98382,82641,97287,86989,79906,87502,83764,72800,73784,80449
2019,58401,67075,87328,76325,90326,76826,80748,90438,74288,72945,75647,72945
2020,59331,76811,46525,31808,70685,74220,77918,69260,75033,72096,59222,82397
2021,63214,63214,71116,71057,68325,71057,62962,60629,63094,58015,58015,58015
2022,61853,61850,69580,63796,61433,61433,53102,55144,53102,47774,45862,49684
2023,50051,48696,54783,61214,58860,61214,49557,53523,51540,49180,50269,52279
2024,51657,51657,53723,47775,49685,49685,47661,53380,43925,40860,47968,49746
2025,46861,44987,48736,50253,52186,46388,0,0,0,0,0,0
