Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1993,0,0,0,0,0,0,0,0,0,0,0,692
1994,0,0,0,0,0,0,0,0,0,0,0,12329
1995,0,0,0,0,0,0,0,0,0,0,0,16725
1996,0,0,0,0,0,0,0,0,0,0,0,26366
1997,0,0,0,0,0,0,0,0,0,0,0,35494
1998,0,0,0,0,0,0,0,0,0,0,0,54311
1999,0,0,0,0,0,0,0,0,0,0,0,82211
2000,0,0,0,0,0,0,0,0,0,0,0,67893
2001,0,0,0,0,0,0,0,0,0,0,0,64085
2002,0,0,0,0,0,0,0,0,0,0,0,39088
2003,0,0,0,0,0,0,0,0,0,0,0,50628
2004,0,0,0,0,0,0,0,0,0,0,0,61149
2005,17154,20454,25722,27158,25503,27095,26052,23820,23404,20631,20091,71604
2006,18110,20719,26005,27807,26494,27443,26429,25114,23877,20097,22203,87022
2007,22524,23512,27567,26007,28494,26288,26690,26874,24087,25185,24177,64561
2008,21355,21988,24871,30066,31047,28292,28021,25065,17383,15483,15182,41559
2009,22096,22073,24724,25606,26060,26845,29345,40198,21623,22490,17955,48446
2010,22123,24052,30522,30036,31431,31906,35419,32465,30071,31199,26601,52267
2011,27789,32806,44179,47074,48212,45047,45504,41188,35609,37690,37007,67437
2012,35517,90076,57505,47550,51771,51326,48074,50028,48105,42452,41055,56690
2013,36302,41505,49125,47556,52327,50536,49004,52015,38003,39754,45411,40710
2014,37011,41218,54777,53676,60087,50644,52309,54667,40628,44694,42236,60154
2015,38299,44030,58771,53282,62433,54137,56311,58897,49820,50044,45553,90996
2016,38305,49737,58279,56508,62926,62572,59969,54248,49220,48977,52504,107617
2017,35626,42673,49429,53358,58507,56143,56403,53323,52468,44397,44302,66854
2018,35628,40672,50645,50585,59462,56571,53112,53864,51503,45102,45101,65356
2019,37376,43406,55814,51385,60062,56801,53405,60730,44619,50007,50504,66435
2020,40355,52177,45413,31705,45727,47870,52479,57015,55519,56084,47897,66954
2021,39052,48062,66523,57673,80298,68486,70099,54009,52906,52067,45318,43001
2022,42488,47057,59524,59063,57941,55843,62449,62449,56270,58276,56703,60422
2023,52003,60859,71291,68205,71497,70495,70930,72147,67264,59164,58338,60275
2024,51091,59059,69472,65754,75156,65929,63580,75172,56047,68908,70107,73303
2025,57007,63303,78540,74805,79007,63849,0,0,0,0,0,0
