Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,27,655,3515,3488,2454,2540,2712,2655,2754,2814,2714,2681
2006,3211,3012,3412,2868,2545,2679,2923,2543,3178,2674,3126,4900
2007,3474,3937,4304,3695,4678,4069,3801,4109,4083,4334,3800,5109
2008,3064,3551,3171,3960,3505,2001,4035,2845,1721,1371,1348,2182
2009,4129,2783,2462,2084,4409,6267,7266,7558,1938,1146,1340,1127
2010,762,1088,1414,1738,2293,1448,1734,3422,2888,2677,1849,2560
2011,3024,3965,4715,4738,4550,4377,3933,4218,3589,3519,3218,3617
2012,2835,6820,3643,3277,3467,3950,3606,3097,2884,2223,2269,1696
2013,2422,2334,2680,2845,2688,2405,2523,3140,2195,2513,4693,2527
2014,2587,2669,3571,3530,4009,3590,4412,4494,3781,3743,3261,3298
2015,3054,3407,5184,4273,4487,3550,5292,5749,4012,4476,4211,6044
2016,4803,5860,6804,7645,8568,8549,8111,6888,6282,5741,5608,6207
2017,4623,5231,5560,5672,7001,8519,7135,6014,6002,5979,5503,5585
2018,5712,5867,7880,7653,7901,6706,7007,6538,7008,6626,6927,6998
2019,5963,6768,6467,6077,8011,6789,8573,9593,6863,7623,8125,8125
2020,6741,7934,5382,3964,7576,8021,7945,7672,7165,6989,7039,7915
2021,0,7033,9471,8094,11035,11828,10626,8182,6596,5459,4330,6034
2022,5993,2689,7778,11380,10363,14153,11985,11985,12412,11877,10554,13075
2023,8602,10117,12965,13426,12862,13917,11853,12280,11562,11053,11010,11133
2024,9994,12081,15211,13739,15512,13316,12628,15114,11163,13681,14051,15427
2025,11357,13072,16872,16178,17063,12630,0,0,0,0,0,0
