Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,2760,2702,2982,3140,2873,3414,5080,4554,3425,3753,4579,6913
2006,3693,3453,4153,3736,3981,3847,3524,3671,3469,4004,4229,6014
2007,3433,3106,3663,4211,4269,4160,4189,4853,4190,4237,4352,4887
2008,2859,2819,3054,2557,3003,2200,2042,0,2622,0,0,0
2009,0,0,2248,2043,2223,1939,1822,2285,2226,2160,2166,3595
2010,1958,2042,2726,2749,2709,2790,2292,2544,2489,2957,2922,3695
2011,2271,2555,3441,2982,2891,3152,2811,2807,2740,3273,3820,4743
2012,3205,6510,4099,3292,3438,3602,3320,3727,3636,3129,3687,5174
2013,4200,3905,4314,3543,3554,3468,4050,4938,3387,4286,4601,5764
2014,4674,4006,4399,4533,4536,4038,4643,4489,3106,3643,3644,5754
2015,5281,4917,6778,5311,5382,4643,5011,5225,5855,7199,6539,8441
2016,5655,6417,8733,5188,4950,5705,6075,6031,5637,5532,5659,8279
2017,6163,5747,7965,5211,4993,5760,5915,5907,6407,5477,6801,7980
2018,6446,6828,10972,6448,7103,6982,6209,7179,6966,7846,8547,10617
2019,7385,8151,9492,7165,7337,6593,6456,6572,7488,8093,9514,10490
2020,7793,6927,7216,2610,5800,6090,5575,4955,5369,9343,7675,10680
2021,6705,6705,7609,5826,5602,5826,6380,6144,6380,10867,10867,10867
2022,5568,5568,6264,3579,3446,3446,4163,4324,3045,7438,6065,6574
2023,4874,4679,5264,5404,4060,4222,5424,5859,5642,6780,6780,7051
2024,5752,5752,5983,4946,5142,5142,8881,9947,8171,8256,9691,10051
2025,9732,9344,10124,0,0,0,0,0,0,0,0,0
