Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1978,0,0,0,0,0,0,0,0,0,0,0,19299
1979,0,0,0,0,0,0,0,0,0,0,0,54853
1980,0,0,0,0,0,0,0,0,0,0,0,43731
1981,0,0,0,0,0,0,0,0,0,0,0,43418
1982,0,0,0,0,0,0,0,0,0,0,0,48889
1983,0,0,0,0,0,0,0,0,0,0,0,52514
1984,0,0,0,0,0,0,0,0,0,0,0,55696
1985,0,0,0,0,0,0,0,0,0,0,0,53810
1986,0,0,0,0,0,0,0,0,0,0,0,56203
1987,0,0,0,0,0,0,0,0,0,0,0,38345
1988,0,0,0,0,0,0,0,0,0,0,0,33531
1989,0,0,0,0,0,0,0,0,0,0,0,63389
1990,0,0,0,0,0,0,0,0,0,0,0,100294
1991,0,0,0,0,0,0,0,0,0,0,0,108604
1992,0,0,0,0,0,0,0,0,0,0,0,112447
1993,0,0,0,0,0,0,0,0,0,0,0,118904
1994,0,0,0,0,0,0,0,0,0,0,0,127766
1995,0,0,0,0,0,0,0,0,0,0,0,79032
1996,0,0,0,0,0,0,0,0,0,0,0,74071
1997,0,0,0,0,0,0,0,0,0,0,0,69529
1998,0,0,0,0,0,0,0,0,0,0,0,70774
1999,0,0,0,0,0,0,0,0,0,0,0,81297
2000,0,0,0,0,0,0,0,0,0,0,0,119499
2001,0,0,0,0,0,0,0,0,0,0,0,156139
2002,0,0,0,0,0,0,0,0,0,0,0,162759
2003,0,0,0,0,0,0,0,0,0,0,0,148989
2004,0,0,0,0,0,0,0,0,0,0,0,72309
2005,17060,20806,26153,22249,26657,22063,24820,22135,19920,19505,17817,19156
2006,18176,23580,25514,22385,27322,23727,25963,22311,20261,18843,20792,19912
2007,19265,22067,37742,21060,26788,25761,25856,24762,25095,22201,20580,24933
2008,21212,23548,32929,23760,27921,23771,22418,23680,16169,16442,14134,17865
2009,15420,16401,21974,16139,16718,13729,19032,26542,14234,15068,14255,18165
2010,15694,17054,23193,18935,22605,18238,20732,19739,18580,18013,15304,21489
2011,14267,19387,30905,20638,17875,19307,20783,22632,25521,18326,18432,22353
2012,23996,51302,32376,21506,20357,19911,19318,22234,24135,18622,21691,27253
2013,21319,24936,32028,19894,24270,22496,24977,28106,22463,19738,20754,22964
2014,18813,24341,34903,22434,29731,26208,29238,31305,23980,18798,21242,24808
2015,20271,25650,32123,24123,29606,27224,27157,29938,25616,25451,22732,29294
2016,19703,21544,23396,26192,27873,26188,27915,26109,24889,22711,22041,28754
2017,21698,22824,24549,24164,26047,22342,27089,25846,25737,20811,21469,26893
2018,24962,25731,33302,23056,29980,26893,24125,25816,21257,18673,20660,25870
2019,20045,23852,26934,19702,25192,22828,23292,27482,18838,19520,24374,26491
2020,23621,28385,15664,10940,24933,25326,24085,26089,24237,22736,21752,31308
2021,25259,21544,31991,31117,42187,32605,32739,27262,24045,19519,20547,19422
2022,21079,28166,33023,30093,15312,15130,23393,25426,23770,25319,26906,27292
2023,22967,30639,36468,32351,33262,29786,30629,30174,28031,23504,27715,39518
2024,30279,32705,37119,31125,35562,35696,39866,41259,29841,37307,33422,40201
2025,33681,33538,43097,37660,28937,33385,0,0,0,0,0,0
