Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1983,0,0,0,0,0,0,0,0,0,0,0,6122
1984,0,0,0,0,0,0,0,0,0,0,0,19548
1985,0,0,0,0,0,0,0,0,0,0,0,12978
1986,0,0,0,0,0,0,0,0,0,0,0,21897
1987,0,0,0,0,0,0,0,0,0,0,0,17619
1988,0,0,0,0,0,0,0,0,0,0,0,16945
1989,0,0,0,0,0,0,0,0,0,0,0,14677
1990,0,0,0,0,0,0,0,0,0,0,0,14344
1991,0,0,0,0,0,0,0,0,0,0,0,13923
1992,0,0,0,0,0,0,0,0,0,0,0,15966
1993,0,0,0,0,0,0,0,0,0,0,0,14772
2003,0,0,0,0,0,0,0,0,0,0,0,1941
2004,0,0,0,0,0,0,0,0,0,0,0,10277
2005,12844,14409,19546,20390,19613,19728,22731,21807,19597,20204,19820,33242
2006,13840,18765,23488,22928,23645,22680,23483,22881,22173,22899,23678,29576
2007,17828,17840,22497,22112,23131,21224,19955,22895,23957,25295,24103,29030
2008,19680,19701,22090,21591,23569,21075,21844,19496,19623,14930,15347,19765
2009,10923,14584,16044,14859,15345,15767,16940,18267,17789,18646,17763,20490
2010,15166,15393,20031,18236,19184,19005,18056,19682,20675,19087,19045,21476
2011,17273,16176,22546,19157,20306,22662,20738,20323,23428,24122,27841,27296
2012,21230,37820,24509,24302,23656,24371,21514,22686,24950,25644,32125,30376
2013,23758,23268,26175,25490,26541,26381,25563,26151,26849,32107,36386,35835
2014,23892,24030,29316,28281,28881,28707,29406,28957,29523,32109,37110,37297
2015,26124,25291,32300,31952,32352,30486,29689,27954,29678,31045,32446,37919
2016,26415,24728,31636,31825,34457,31558,31795,31556,29500,31383,32927,35871
2017,27576,27035,31963,29125,29959,32102,28667,28954,32096,31401,34112,39250
2018,27498,27788,31374,27207,30077,28999,22955,24084,30617,29474,32879,36132
2019,23721,24389,30557,25631,25631,29201,27490,30144,32002,32130,35954,35279
2020,24445,31650,19170,12112,27901,29492,29675,26377,28576,32153,26411,36746
2021,28774,28890,32368,31213,30015,31213,24022,23135,24025,25189,25189,25632
2022,23630,18513,27029,33749,32530,32530,28857,29970,27585,29369,28195,30930
2023,23473,23493,26813,32411,30848,32411,28853,26496,30005,27846,29607,29984
2024,27687,27400,28267,31214,32461,32460,33475,37496,30899,28718,33711,32294
2025,0,24032,26035,0,0,0,0,0,0,0,0,0
