Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,2917,3140,4127,4310,3878,3607,3662,3342,3027,3203,3171,2436
2006,2944,2690,3851,3313,3672,3556,3528,3252,2964,3642,3287,2472
2007,2050,2364,3655,3352,4130,4174,4069,4077,4031,3370,3177,3562
2008,2460,3415,4289,4713,6312,5211,5063,5469,3762,5272,4545,3566
2009,2082,2826,3605,3657,4610,4105,4872,5111,4128,4176,2564,3489
2010,2247,2871,3610,3843,4233,4149,4326,4425,4884,3950,2786,4320
2011,2751,2617,4358,4737,4091,3802,4711,3109,3999,5415,4750,6664
2012,3334,9960,5866,5731,6153,5995,5855,5718,4899,5888,5248,11707
2013,3682,4302,6071,5786,5944,6571,5950,6023,5306,5700,4575,11938
2014,2543,2459,3655,4390,5729,5376,5811,5006,4219,5300,5009,9008
2015,3228,3720,5829,5476,5833,6174,5191,5109,4414,4087,4444,6572
2016,3238,2839,4762,4796,4595,4914,4774,4969,4024,3954,4507,4671
2017,3110,2154,4987,3481,4060,4410,4398,4448,3736,3669,4038,4611
2018,2937,3065,4531,3731,4226,4146,4296,3800,3461,3166,3528,2797
2019,2457,2679,3769,2621,2822,3235,2827,3911,3505,2962,3067,2310
2020,1701,2202,1333,952,2115,2221,3173,2810,2991,2884,2369,3296
2021,2011,2011,2262,3154,3032,3154,2175,2094,2175,7860,2620,2620
2022,2200,2200,2475,1753,1688,1688,2362,2453,2362,3440,3302,3577
2023,2396,2300,2587,2561,2463,2561,2532,2735,2634,3529,3529,3670
2024,2068,2095,2179,1915,1991,1991,1738,1947,1599,2580,3029,3141
2025,2325,2232,2419,2572,2671,2374,0,0,0,0,0,0
