Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,2917,3140,4127,4310,3878,3607,3662,3342,3027,3203,3171,2436
2006,2944,2690,3851,3313,3672,3556,3528,3252,2964,3642,3287,2472
2007,2050,2364,3655,3352,4130,4174,4069,4077,4031,3370,3177,3562
2008,2460,3415,4289,4713,6312,5211,5063,5469,3762,5272,4545,3566
2009,2082,2826,3605,3657,4610,4105,4872,5111,4128,4176,2564,3489
2010,2247,2871,3610,3843,4233,4149,4326,4425,4884,3950,2786,4320
2011,2751,2617,4358,4737,4091,3802,3428,2467,2792,3403,3338,3730
2012,2075,7372,4287,4198,4377,4176,3822,3668,2897,4053,3640,4232
2013,2266,2640,4310,3922,4173,4482,3739,4392,4115,3461,3140,4537
2014,1469,1089,1794,2345,3414,3420,3628,2594,2311,3265,3464,4674
2015,2483,2782,4287,4232,4065,4133,3988,3711,3234,2868,3184,2861
2016,2734,2258,3481,3547,3359,3485,3352,3657,2993,3013,3640,3805
2017,1988,1966,3625,2526,2754,2980,2936,3083,2346,2466,2499,3070
2018,1452,1708,2459,2350,2535,2673,2572,2252,2050,2096,2353,1619
2019,1586,1681,2442,1741,1682,2066,1842,1967,1807,1786,1909,1614
2020,1157,1498,907,656,1457,1530,2119,1877,1998,1850,1520,2115
2021,1319,1319,1484,2077,1997,2077,1347,1297,1347,5224,1741,1741
2022,1241,1241,1396,1407,1355,1355,1794,1863,1794,2189,2101,2276
2023,1479,1420,1597,1727,1661,1727,1581,1708,1645,2115,2115,2199
2024,1369,1396,1452,1178,1225,1225,922,1033,848,1173,1377,1428
2025,1261,1211,1312,1506,1564,1390,0,0,0,0,0,0
