Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1982,0,0,0,0,0,0,0,0,0,0,0,5260
1983,0,0,0,0,0,0,0,0,0,0,0,51189
1984,0,0,0,0,0,0,0,0,0,0,0,67057
1985,0,0,0,0,0,0,0,0,0,0,0,68859
1986,0,0,0,0,0,0,0,0,0,0,0,68101
1987,0,0,0,0,0,0,0,0,0,0,0,98206
1988,0,0,0,0,0,0,0,0,0,0,0,85265
1989,0,0,0,0,0,0,0,0,0,0,0,45066
1990,0,0,0,0,0,0,0,0,0,0,0,35223
1991,0,0,0,0,0,0,0,0,0,0,0,38613
1992,0,0,0,0,0,0,0,0,0,0,0,49021
1993,0,0,0,0,0,0,0,0,0,0,0,43139
1994,0,0,0,0,0,0,0,0,0,0,0,39565
1995,0,0,0,0,0,0,0,0,0,0,0,9849
1996,0,0,0,0,0,0,0,0,0,0,0,8776
1997,0,0,0,0,0,0,0,0,0,0,0,6087
1998,0,0,0,0,0,0,0,0,0,0,0,4164
1999,0,0,0,0,0,0,0,0,0,0,0,3419
2000,0,0,0,0,0,0,0,0,0,0,0,117
2001,0,0,0,0,0,0,0,0,0,0,0,1
2002,0,0,0,0,0,0,0,0,0,0,0,1
2005,7269,12477,14776,9230,11380,10621,10376,10945,9054,9292,8902,9673
2006,7469,7976,10250,10841,11821,10004,10502,10954,10287,9288,9256,9910
2007,9383,9726,12536,12047,13651,13014,10347,13020,12102,9280,7983,5904
2008,7226,9106,10750,8878,10430,7494,9644,9200,7378,7486,5096,4570
2009,4730,4484,4620,3919,4352,4362,4847,6813,4712,3867,2925,4357
2010,4170,4019,5434,3932,4737,4198,5648,4293,4961,5111,4306,4874
2011,5714,6893,7560,8081,7568,8299,7972,7985,5803,4378,3731,5032
2012,4711,9472,7160,5280,5575,5411,4224,4249,4536,3981,3574,4113
2013,4659,6051,5286,4461,4715,5297,5230,5281,4001,4752,6071,6423
2014,4867,5977,8996,6542,7269,6021,6349,6786,5558,6199,6534,6545
2015,6493,7533,9764,8216,9575,7963,7868,8289,7556,7426,6772,7887
2016,7264,7870,11078,9674,9025,8023,7890,7336,7191,7637,6896,7383
2017,6457,10924,11766,8375,9429,7625,8025,8164,8430,7381,8609,8501
2018,8480,12973,14319,7990,12416,11149,9950,8416,7705,8002,7688,8986
2019,8711,13760,19599,6963,9750,12317,8613,8139,7722,7372,8188,9915
2020,10626,15543,9394,4333,3852,4012,8716,7748,8393,4982,4093,5694
2021,9034,9034,10163,8491,8165,8491,8032,7735,8032,8286,8286,8286
2022,8447,8447,9504,7475,7198,7198,5523,5735,5523,6919,6642,7194
2023,6886,6611,7438,8308,7987,8308,7114,7683,7399,6450,6450,6708
2024,9344,9344,9718,7379,7674,7674,10391,11638,9560,7999,9389,9737
2025,10546,10123,10966,7468,7755,6893,0,0,0,0,0,0
