Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1984,0,0,0,0,0,0,0,0,0,0,0,73652
1985,0,0,0,0,0,0,0,0,0,0,0,67409
1986,0,0,0,0,0,0,0,0,0,0,0,52936
1987,0,0,0,0,0,0,0,0,0,0,0,33566
1988,0,0,0,0,0,0,0,0,0,0,0,19357
1989,0,0,0,0,0,0,0,0,0,0,0,36163
1990,0,0,0,0,0,0,0,0,0,0,0,29910
1991,0,0,0,0,0,0,0,0,0,0,0,15354
1992,0,0,0,0,0,0,0,0,0,0,0,9628
1993,0,0,0,0,0,0,0,0,0,0,0,9801
1994,0,0,0,0,0,0,0,0,0,0,0,4836
1995,0,0,0,0,0,0,0,0,0,0,0,4176
1996,0,0,0,0,0,0,0,0,0,0,0,2929
1998,0,0,0,0,0,0,0,0,0,0,0,154
1999,0,0,0,0,0,0,0,0,0,0,0,72
2000,0,0,0,0,0,0,0,0,0,0,0,40
2001,0,0,0,0,0,0,0,0,0,0,0,64
2002,0,0,0,0,0,0,0,0,0,0,0,13389
2003,0,0,0,0,0,0,0,0,0,0,0,36728
2004,0,0,0,0,0,0,0,0,0,0,0,30690
2005,68871,72625,92221,79982,82440,81158,93905,80026,82477,62317,66842,105675
2006,67834,74997,91209,77102,76881,65854,75860,80419,77962,65689,65633,103298
2007,73677,75514,97242,61179,82314,81655,78351,85275,84019,74992,70079,95857
2008,69961,76151,93100,66318,90379,66543,82152,97417,51786,49833,38974,64166
2009,46769,47890,59392,42258,60993,51994,64751,97580,48783,53664,50644,67115
2010,55861,63148,85526,56558,75673,56266,72573,67399,65900,61843,63184,81228
2011,64442,83226,109854,64765,69759,65659,77191,82517,84485,75484,76754,89937
2012,72517,194984,126132,64200,81202,81801,86722,87360,83462,70928,84300,86663
2013,73793,90489,126623,80003,106558,95010,101279,108614,77828,81866,93376,96526
2014,81472,105631,136642,94764,125558,101069,112914,125224,95118,94072,91789,105581
2015,94449,106777,132560,99869,124305,114243,121612,122716,111562,104904,95389,124207
2016,97220,120840,149784,113429,122668,129495,122530,114199,116384,102312,103024,134545
2017,100761,122003,150566,111201,124957,131057,117455,97340,127187,112716,122959,121847
2018,112903,117110,145103,78804,120207,134398,99045,101580,110283,98082,96427,130655
2019,90439,103735,137362,87207,121570,113665,90220,118045,94213,94417,83562,93538
2020,75370,97576,59102,29024,64574,67719,71456,63516,86782,75112,61690,85841
2021,85273,85273,95935,94641,91001,94641,63548,61195,63548,61345,61345,61345
2022,60749,60749,68341,58997,56811,56812,47013,48821,47014,59082,56718,61642
2023,72387,69492,78179,76928,73968,76928,64209,69347,66777,61143,61143,63590
2024,78564,78564,81707,72272,75163,75163,58967,72774,59777,61048,71729,74290
2025,84660,81251,82463,70609,73325,65177,0,0,0,0,0,0
