Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2007,0,0,0,0,0,0,0,0,832,5038,5650,6288
2008,5435,5223,6873,5814,7467,6022,2607,6639,5054,5584,5501,6916
2009,5802,5515,6982,4758,8287,5933,6770,10476,5089,5958,5101,6551
2010,5483,6143,8395,6581,8789,6959,10963,10133,8319,8862,8525,10363
2011,9423,11427,14174,8432,6962,7493,11260,11467,10740,10034,10845,12286
2012,9904,26846,16972,8563,11977,10999,13193,12626,12106,8436,12662,11488
2013,8951,9964,15381,11904,17333,15518,16992,17273,11353,12919,10487,14676
2014,13831,17197,19420,15066,18722,15066,16618,21419,17229,14685,15067,14879
2015,15649,21419,27418,21767,25901,23243,25081,27665,25064,24939,22565,26479
2016,19762,21561,27713,23173,27428,29246,33298,32979,26459,21179,26629,40477
2017,28760,33149,39512,27386,32533,34349,32425,29844,38969,30286,36080,40172
2018,36184,38119,42151,23331,38413,37004,26535,33400,34842,27748,31860,42523
2019,26113,31899,35802,24159,28600,28694,25955,41629,29449,27082,23734,27331
2020,19396,25111,15210,8505,18900,19845,21192,18837,20407,20421,16774,23338
2021,27750,27750,31219,32270,31029,32270,17671,17016,17671,16985,16985,16985
2022,14475,14475,16285,14505,13968,13968,13974,14512,13974,18782,18030,19533
2023,25164,24158,27177,24057,23132,24057,20303,21927,21115,19858,19858,20652
2024,29870,29870,31065,16349,17003,17003,15788,17683,14525,16680,19581,20306
2025,20701,19873,21529,16026,16642,14793,0,0,0,0,0,0
