Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,4155,5053,5851,4549,3514,4114,4688,4349,4115,4208,3739,5206
2006,3331,3379,5859,4512,4163,3967,4492,4002,3806,4290,4215,5242
2007,2739,2971,5306,3580,3871,4145,3678,3902,3746,3554,3046,3992
2008,2402,2971,4615,5339,6412,5830,5559,6763,4804,4558,4996,6499
2009,5162,5978,6802,5955,6171,6090,7574,11870,4839,5169,4948,7223
2010,4943,6315,8467,7627,7976,7607,7503,7234,6449,6631,6260,8068
2011,5806,6334,7629,6714,5193,5466,6218,6429,6592,5385,5829,8601
2012,5117,11130,6192,5666,7323,7233,6453,5400,6066,5309,5703,8764
2013,6565,5529,9050,9366,10068,10170,9841,13163,10620,12581,13410,13229
2014,10771,10773,13846,11547,14146,13317,14524,16432,12584,12971,13879,15163
2015,11210,11459,14967,13977,15157,14058,15811,17565,15364,15172,13655,16797
2016,11904,12239,14284,14490,15309,12029,14856,19658,15883,15330,14596,18015
2017,12853,12820,15803,14761,16280,15440,15283,15528,13262,13430,14662,17441
2018,10848,11640,14616,13679,14530,13964,13759,15435,13453,15981,16066,17642
2019,13318,13133,14205,14782,16028,14753,14731,17076,13421,15910,16386,16436
2020,13209,16458,9413,9431,17859,19490,15313,17261,15648,14697,12211,16006
2021,13207,13482,21005,19452,20006,8813,12235,12688,11366,4820,3719,13930
2022,13531,11255,6572,6130,5496,7953,7737,10477,10254,11954,9211,13526
2023,10114,10030,10264,9651,10582,10669,14504,15294,15237,15479,15089,15653
2024,12619,14882,21045,17850,15345,11108,10682,13456,13111,13431,14843,17149
2025,12948,14347,22570,19330,15434,11343,0,0,0,0,0,0
