Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1983,0,0,0,0,0,0,0,0,0,0,0,171052
1984,0,0,0,0,0,0,0,0,0,0,0,245616
1985,0,0,0,0,0,0,0,0,0,0,0,563788
1986,0,0,0,0,0,0,0,0,0,0,0,601658
1987,0,0,0,0,0,0,0,0,0,0,0,487137
1988,0,0,0,0,0,0,0,0,0,0,0,429876
1989,0,0,0,0,0,0,0,0,0,0,0,402126
1990,0,0,0,0,0,0,0,0,0,0,0,363911
1991,0,0,0,0,0,0,0,0,0,0,0,386848
1992,0,0,0,0,0,0,0,0,0,0,0,355748
1993,0,0,0,0,0,0,0,0,0,0,0,359154
1994,0,0,0,0,0,0,0,0,0,0,0,285298
1995,0,0,0,0,0,0,0,0,0,0,0,207215
1996,0,0,0,0,0,0,0,0,0,0,0,116677
1997,0,0,0,0,0,0,0,0,0,0,0,66097
1998,0,0,0,0,0,0,0,0,0,0,0,14088
1999,0,0,0,0,0,0,0,0,0,0,0,16689
2000,0,0,0,0,0,0,0,0,0,0,0,52419
2001,0,0,0,0,0,0,0,0,0,0,0,35720
2002,0,0,0,0,0,0,0,0,0,0,0,22893
2003,0,0,0,0,0,0,0,0,0,0,0,14856
2004,0,0,0,0,0,0,0,0,0,0,0,8710
2005,113766,133157,163897,168600,161789,155973,173825,162009,142886,136363,132253,155636
2006,130266,134406,175446,179842,187606,179495,196279,189852,181055,152841,159208,180761
2007,141728,155856,202842,176502,225606,204334,185277,186499,174690,161510,162421,180900
2008,143678,149009,181659,183090,215953,161111,163336,170385,120103,129074,108809,114460
2009,99642,92775,113900,118052,130566,110517,149601,191469,104393,128801,112120,155544
2010,80244,83213,163133,135503,136485,120527,145976,124911,126401,119729,107243,145972
2011,99721,124088,150000,136254,91386,96708,112764,107731,102618,112002,112949,165032
2012,108731,150355,176448,154990,175463,149373,139759,156561,144781,129505,133370,175300
2013,136621,143986,175720,152372,179137,167540,164102,194047,136914,141317,147465,168551
2014,124697,135900,180838,171109,210134,173584,183342,205413,139973,153043,151967,188357
2015,142373,153608,190481,173144,208102,179953,183500,186999,162595,171339,154994,200871
2016,135251,158982,182383,179603,175998,166299,179920,176560,170719,161116,167425,208620
2017,127404,155962,187258,179796,192837,177971,193148,196816,200428,165537,164499,188955
2018,149142,166099,199908,174296,193842,185851,212855,220588,199298,168385,163977,185384
2019,138601,152626,185698,162506,197637,179305,184179,218403,150796,165644,177764,172047
2020,146244,173013,120145,62563,139028,145980,146044,164750,172370,178658,177725,211378
2021,146591,161625,208801,200491,202009,170609,184509,152073,122495,116400,125506,141990
2022,126500,136275,170664,157760,149584,142690,149353,143057,129522,158002,144621,153932
2023,113953,137254,147863,159138,159984,157767,166833,163996,177653,162273,159746,182481
2024,143240,159258,184123,183338,184693,164777,153038,168693,140141,159370,173355,172908
2025,140967,150018,196240,197869,207499,166174,0,0,0,0,0,0
