Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,4256,5171,6233,6971,6829,6489,7394,7380,5743,4409,4448,5195
2006,9382,11068,13494,13854,14013,13204,14755,14363,11551,11154,11425,13784
2007,11925,11643,17837,14495,16547,14677,14494,15916,14412,14636,12354,13816
2008,10897,10377,12955,12773,14917,9597,12006,12911,10305,12227,9260,8795
2009,8034,8398,11899,11126,12730,10054,15912,18312,10398,13971,11512,16762
2010,7894,6799,25781,14851,13102,12573,15979,14727,14685,14694,12306,17486
2011,11196,12562,16082,15586,8624,9105,8814,6502,7649,10680,11330,14107
2012,9819,12677,17367,15196,19248,15129,15248,15685,13796,10936,12423,14351
2013,11610,13329,16474,18541,20780,20540,19538,23502,15928,17590,19447,20970
2014,16880,16451,19733,18834,23465,21589,26779,35614,22724,21524,21108,22997
2015,19824,21943,25243,22914,28808,24843,26709,30534,27104,28256,27368,31866
2016,21554,25523,29045,30152,32261,27365,31871,33171,29438,26429,28116,37214
2017,22155,26351,32027,31757,38356,34120,41804,43265,42395,34086,28736,32542
2018,26655,29867,34937,31007,38202,37722,41093,42222,37440,34004,35350,38669
2019,24505,26149,33166,34139,43499,39152,39645,49481,34886,37499,44665,41282
2020,33130,39626,24875,15431,34292,36006,36323,39239,43652,40717,40250,46846
2021,31364,35813,47078,40895,30018,36027,41145,29681,21426,24994,34689,34609
2022,29457,34407,37328,33610,32883,0,37749,32390,32317,35089,28022,33489
2023,23419,30027,31258,30386,33677,38250,37821,39895,38098,42226,42842,47044
2024,36273,43209,45340,39062,42675,41736,35593,35147,31296,39387,41179,44296
2025,36250,37643,41509,41957,45282,36810,0,0,0,0,0,0
