Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1950,0,0,0,0,0,0,0,0,0,0,0,2
1951,0,0,0,0,0,0,0,0,0,0,0,50
1952,0,0,0,0,0,0,0,0,0,0,0,93
1953,0,0,0,0,0,0,0,0,0,0,0,75
1954,0,0,0,0,0,0,0,0,0,0,0,827
1955,0,0,0,0,0,0,0,0,0,0,0,3189
1956,0,0,0,0,0,0,0,0,0,0,0,7375
1957,0,0,0,0,0,0,0,0,0,0,0,19118
1958,0,0,0,0,0,0,0,0,0,0,0,25036
1959,0,0,0,0,0,0,0,0,0,0,0,32133
1960,0,0,0,0,0,0,0,0,0,0,0,35697
1961,0,0,0,0,0,0,0,0,0,0,0,22754
1962,0,0,0,0,0,0,0,0,0,0,0,32514
1963,0,0,0,0,0,0,0,0,0,0,0,39383
1964,0,0,0,0,0,0,0,0,0,0,0,41051
1965,0,0,0,0,0,0,0,0,0,0,0,34054
1966,0,0,0,0,0,0,0,0,0,0,0,40198
1967,0,0,0,0,0,0,0,0,0,0,0,29049
1968,0,0,0,0,0,0,0,0,0,0,0,57862
1969,0,0,0,0,0,0,0,0,0,0,0,54985
1970,0,0,0,0,0,0,0,0,0,0,0,72515
1971,0,0,0,0,0,0,0,0,0,0,0,68561
1972,0,0,0,0,0,0,0,0,0,0,0,48178
1973,0,0,0,0,0,0,0,0,0,0,0,43533
1974,0,0,0,0,0,0,0,0,0,0,0,30501
1975,0,0,0,0,0,0,0,0,0,0,0,33787
1976,0,0,0,0,0,0,0,0,0,0,0,36251
1977,0,0,0,0,0,0,0,0,0,0,0,50995
1978,0,0,0,0,0,0,0,0,0,0,0,54154
1979,0,0,0,0,0,0,0,0,0,0,0,37944
1980,0,0,0,0,0,0,0,0,0,0,0,60930
1981,0,0,0,0,0,0,0,0,0,0,0,64568
1982,0,0,0,0,0,0,0,0,0,0,0,47009
1983,0,0,0,0,0,0,0,0,0,0,0,49834
1984,0,0,0,0,0,0,0,0,0,0,0,56047
1985,0,0,0,0,0,0,0,0,0,0,0,57985
1986,0,0,0,0,0,0,0,0,0,0,0,49124
1987,0,0,0,0,0,0,0,0,0,0,0,77629
1988,0,0,0,0,0,0,0,0,0,0,0,81686
1989,0,0,0,0,0,0,0,0,0,0,0,55684
1990,0,0,0,0,0,0,0,0,0,0,0,42313
1991,0,0,0,0,0,0,0,0,0,0,0,28201
1992,0,0,0,0,0,0,0,0,0,0,0,21350
1993,0,0,0,0,0,0,0,0,0,0,0,12656
1994,0,0,0,0,0,0,0,0,0,0,0,5349
1995,0,0,0,0,0,0,0,0,0,0,0,5540
1996,0,0,0,0,0,0,0,0,0,0,0,5828
1997,0,0,0,0,0,0,0,0,0,0,0,9538
1998,0,0,0,0,0,0,0,0,0,0,0,15230
1999,0,0,0,0,0,0,0,0,0,0,0,11539
2000,0,0,0,0,0,0,0,0,0,0,0,14133
2001,0,0,0,0,0,0,0,0,0,0,0,13327
2002,0,0,0,0,0,0,0,0,0,0,0,8675
2005,12683,13457,16738,18458,16297,19071,21553,23083,21646,17207,18046,25956
2006,16237,16329,20730,20528,22100,19290,20518,21437,18435,14267,15363,18296
2007,15272,14941,15527,17154,19825,20003,22532,18581,16912,15403,15932,18444
2008,12928,14732,17843,17606,19953,20666,18406,20321,15872,14823,13308,16599
2009,11921,12994,15022,15679,18957,18480,19946,23997,17105,16439,15620,19612
2010,17407,18116,22148,23135,23543,21051,23880,22855,19943,20084,20189,23867
2011,18401,21461,27176,28542,30100,28444,29066,25232,26313,26512,26756,30971
2012,27209,59851,36588,37525,38657,38170,37014,41011,36339,34311,36728,44005
2013,29018,31456,37704,33644,38013,36957,35779,40342,31920,28129,30726,34015
2014,23494,27112,36717,30831,32163,28827,30553,35181,25996,30313,31725,34058
2015,23504,25710,30025,30009,34758,30436,31300,32332,26141,30387,23882,30956
2016,20079,22321,26914,27112,28779,23809,28758,29384,24112,24779,29672,37229
2017,23510,25145,27635,27557,30014,27377,27091,32015,32112,27732,29207,30281
2018,24744,26660,32548,28783,31211,28941,30520,32255,30555,29000,26789,32047
2019,23074,25706,37092,31309,35702,31725,31188,35412,26947,28072,29218,27877
2020,24382,31565,51168,12588,27972,29373,29634,26342,28538,31751,26082,36289
2021,28068,28068,32050,40694,39109,33821,26769,25776,26769,28446,28446,28446
2022,20797,20797,23397,25763,25763,25763,28330,29419,28330,7434,7137,7731
2023,22320,21426,24105,25978,24977,25978,28127,30377,29251,31739,31739,33008
2024,27007,27007,28089,32851,33973,33973,30682,34365,25383,30429,35722,38851
2025,29305,28132,30477,24781,25733,22876,0,0,0,0,0,0
