Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,5433,6116,7653,8347,7912,9414,10699,10277,9778,7549,8743,12142
2006,7436,6763,9588,9930,11027,8601,9712,9870,7383,5580,7188,10253
2007,7700,6652,7212,8234,10371,9804,8057,8714,7715,7771,7781,8940
2008,6488,6823,8630,7171,8303,8973,9245,11217,8817,7259,6472,8063
2009,6238,5983,7391,6021,10597,10413,12078,12872,9568,9076,7957,10233
2010,8893,7828,9196,9742,10514,9085,10413,10667,10769,11958,11153,12995
2011,11460,12591,16969,16955,16671,17105,15713,14500,15023,13058,12891,14422
2012,10962,25676,14966,15658,15175,13604,13629,15446,14750,13476,14259,15661
2013,10522,11968,15005,13078,15910,14813,13388,16280,13309,11710,12417,15393
2014,9768,11908,15692,12934,13915,12090,13142,15361,10245,14607,15633,15578
2015,8969,10811,11583,11700,12875,11080,11562,11112,7773,8549,11022,14073
2016,8177,9375,10471,10694,10945,8617,11450,11720,8299,8068,10212,13079
2017,6846,8017,9700,9398,11535,9999,11053,12409,12038,9217,8362,7233
2018,4531,4592,5527,4302,6821,7239,6938,10597,10631,10148,9207,10261
2019,6875,7109,9105,7745,9653,8486,8086,9592,8090,8582,8966,8164
2020,6945,8992,13623,2875,6388,6708,7054,6270,6792,8495,6978,9709
2021,7268,7268,8177,6853,6589,0,3278,3156,3278,3082,3082,3082
2022,3481,3481,3916,4413,4250,4250,3026,3142,3026,349,335,363
2023,1505,1444,1625,3934,3782,3934,4594,4961,4777,5543,5543,5765
2024,4284,4284,4456,6658,6925,6925,6375,7140,5865,5578,6549,6791
2025,5926,5689,6163,4911,5100,4534,0,0,0,0,0,0
