Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2002,0,0,0,0,0,0,0,0,0,0,0,18975
2003,0,0,0,0,0,0,0,0,0,0,0,17330
2004,0,0,0,0,0,0,0,0,0,0,0,28317
2005,5697,5749,6784,6077,6158,7175,6585,5920,5007,4774,5077,31702
2006,5015,4931,6590,5393,5949,6127,5720,5966,4573,4117,5041,33681
2007,4745,4558,6290,4660,5220,5896,5995,5826,4594,4283,4583,28307
2008,4496,4467,5254,3650,3545,3276,2700,2218,2154,1937,2420,18116
2009,1321,1844,3266,2449,3415,4339,3675,2595,2489,2449,2683,16846
2010,1860,2026,2948,2009,2442,2868,2626,2785,2588,2527,2752,13370
2011,3017,3492,4476,4487,5363,5301,4054,3853,3802,3802,3725,12103
2012,3381,8668,5480,3929,5061,5529,4720,5097,4122,3466,4990,9676
2013,4202,4187,4476,3617,5411,5837,5023,4474,3508,3187,3603,7465
2014,3397,3564,5319,4030,4791,5525,4411,4395,7102,3499,3016,5228
2015,3458,3696,5352,4210,4636,5360,5214,5424,5064,6958,6640,8916
2016,3992,4973,6437,5792,5121,7702,7952,6904,5130,5941,7333,9897
2017,3448,4632,5349,7111,6197,7295,6967,7994,7900,7008,7854,9679
2018,5560,6283,8463,8333,9338,9868,8622,8970,8715,7627,8181,8826
2019,5854,6635,9569,8367,9761,9934,8795,9187,9323,8807,9635,12360
2020,6157,7841,5487,3866,9519,10385,9697,10378,10274,10691,11591,14244
2021,8151,9164,9924,11046,13221,12258,11575,10686,9350,8701,7667,11681
2022,7110,6219,9367,10022,9372,8434,6868,8136,6627,9478,9233,11111
2023,7693,8560,10230,9611,10723,12933,10785,10644,10946,11296,11671,13609
2024,9586,7920,15315,10604,10153,9304,9629,10420,8518,9360,12259,14077
2025,8136,11097,14052,11135,11070,8217,0,0,0,0,0,0
