Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2009,0,235,641,723,896,1032,762,767,828,900,1098,1380
2010,489,667,1263,817,972,1126,1129,1030,878,1044,1128,1488
2011,966,1184,1369,1220,1386,1349,1029,944,725,858,774,1128
2012,1059,2502,1563,1261,1751,1626,1782,1898,1562,1562,2067,1760
2013,1566,1496,1690,1455,1915,2431,1740,1793,1355,1244,1500,1581
2014,942,1146,1701,1263,1552,2180,1732,1792,1593,1653,1643,2079
2015,1517,1954,2464,1819,1707,2449,2146,2361,2217,1912,2077,3510
2016,860,1187,1599,1456,1345,2362,2097,1847,1157,1611,2127,2783
2017,804,1388,1544,2046,1595,1658,2184,2521,2490,1888,1977,2421
2018,1699,1955,2379,2492,2949,3316,2467,2842,3412,2564,3227,3387
2019,1471,2229,2936,2251,2872,2807,2426,2926,2253,2285,2585,3537
2020,1737,2276,1556,1053,2723,2867,2637,2981,2632,3571,3756,4289
2021,2196,2757,2937,3610,4417,4675,4505,3266,3220,3032,3043,3924
2022,2668,2020,3130,3710,3084,2720,2576,3112,2733,3611,3295,3522
2023,2515,2738,3506,3431,3717,3925,3161,2946,3211,3307,3170,4075
2024,2957,2542,3901,3261,3364,2461,2345,2799,2807,3156,4713,5245
2025,3027,4123,5556,3508,3508,2421,0,0,0,0,0,0
